,PROVINCE,DISTRICT,CONSTITUENCY,WARD,POLLING DISTRICT NAME,POLLING STATION NAME,PHASE
0,CENTRAL,CHIBOMBO,KATUBA,KABILE,KAPOPOLA,Kapopola Primary School,1
1,CENTRAL,CHIBOMBO,KATUBA,CHILOCHABALENJE,CHILOCHABALENJE,Chilochabalenje Primary School,1
2,CENTRAL,CHIBOMBO,KATUBA,MUCHENJE,NAMAYANI,Namayani Primary School,1
3,CENTRAL,CHIBOMBO,KATUBA,MUCHENJE,KANWANDUBA,Kanwanduba Community School,1
4,CENTRAL,CHIBOMBO,KATUBA,MUCHENJE,KANSANGWA,Kansangwa Community Office,1
5,CENTRAL,CHIBOMBO,KATUBA,CHOLOKELO,MUNGULE NORTH,Namunuunga Primary School,1
6,CENTRAL,CHIBOMBO,KATUBA,MUNGULE,DUZAI,Duzai Community School,1
7,CENTRAL,CHIBOMBO,KATUBA,CHUNGA,MAPILI,Sunshine Community School,1
8,CENTRAL,CHIBOMBO,KATUBA,KATUBA,LUBOBO,Lubobo SDA Church,1
9,CENTRAL,CHIBOMBO,KATUBA,KAMAILA,KAPILA,Kapila Primary School,1
10,CENTRAL,CHIBOMBO,KATUBA,CHILOCHABALENJE,KANWANJIBA,Kanwanjiba Primary School,1
11,CENTRAL,CHIBOMBO,KEEMBE,IPONGO,NKALA,Nkala Community School,1
12,CENTRAL,CHIBOMBO,KEEMBE,IPONGO,BUUMBA,Buumba Community School,1
13,CENTRAL,CHIBOMBO,KEEMBE,MUUNDU,MUKUNKWA,Mukunkwa Community School,1
14,CENTRAL,CHIBOMBO,KEEMBE,CHITANDA,CHIPILI,Chipili Primary School,1
15,CENTRAL,CHIBOMBO,KEEMBE,CHITANDA,MAKOKA,Makoka Primary School,1
16,CENTRAL,CHIBOMBO,KEEMBE,LUNJOFWA,KABANJE,Kabanje Primary School,1
17,CENTRAL,CHIBOMBO,KEEMBE,MALAMBANYAMA,NAMAKOLONGO,Namakolongo Primary School,1
18,CENTRAL,CHIBOMBO,KEEMBE,MASHIKILI,MASHIKILI CENTRAL,Keembe Primary School,1
19,CENTRAL,CHIBOMBO,KEEMBE,KAKOMA,MWANJE,Mwanje Community School,1
20,CENTRAL,CHIBOMBO,KEEMBE,KAKOMA,KAKUNKA,Mulabo Primary School,1
21,CENTRAL,CHIBOMBO,KEEMBE,KAKOMA,CHABONA,Chabona Primary School,1
22,CENTRAL,CHIBOMBO,KEEMBE,CHALOSHI,LANDLESS CORNER,Shalubala Primary School,1
23,CENTRAL,CHIBOMBO,KEEMBE,KEEMBE,MAYOTA,Mayota Primary School,1
24,CENTRAL,CHIBOMBO,KEEMBE,KEEMBE,MUKACHEMBE,Mukachembe Community School,1
25,CENTRAL,CHIBOMBO,KEEMBE,KALOLA,KALOLA SOUTH,Muntemba Primary School,1
26,CENTRAL,CHIBOMBO,KEEMBE,CHIBOMBO,KAPUKUPUKU,Kapukupuku Fishing Camp,1
27,CENTRAL,CHIBOMBO,KEEMBE,CHIBOMBO,LYANSA,Lyansa Community School,1
28,CENTRAL,CHIBOMBO,KEEMBE,CHIKOBO,KASUKWE,Kasukwe UCZ Church,1
29,CENTRAL,CHIBOMBO,KATUBA,KABILE,KABILE,Kabile Primary School,2
30,CENTRAL,CHIBOMBO,KATUBA,CHILOCHABALENJE,LUPANI,Lupani Primary School,2
31,CENTRAL,CHIBOMBO,KATUBA,MUCHENJE,CHIPESO,Chipeso Primary School,2
32,CENTRAL,CHIBOMBO,KATUBA,CHOLOKELO,KATOLE,Katole Primary School,2
33,CENTRAL,CHIBOMBO,KATUBA,MUCHENJE,MALICHASHI,Malichashi Primary School,2
34,CENTRAL,CHIBOMBO,KATUBA,CHOLOKELO,MWASHINYAMBO,Mwashinyambo Community School,2
35,CENTRAL,CHIBOMBO,KATUBA,MUNGULE,SHIFWANKULA WEST,Kapopo Primary School,2
36,CENTRAL,CHIBOMBO,KATUBA,CHUNGA,KABANGWE EAST,Kingston Primary School,2
37,CENTRAL,CHIBOMBO,KATUBA,KATUBA,CHIKUMBI,Nazarene Church,2
38,CENTRAL,CHIBOMBO,KATUBA,KAMAILA,KALIMANSENGA,Chimpetu Community School,2
39,CENTRAL,CHIBOMBO,KEEMBE,CHALOSHI,ZAMBIA NATIONAL SERVICE,Steve Pende Primary School,2
40,CENTRAL,CHIBOMBO,KEEMBE,ITUMBWE,MOONGO,Moongo Catholic Church,2
41,CENTRAL,CHIBOMBO,KEEMBE,IPONGO,NYAMFULA,Nyamfula Community School,2
42,CENTRAL,CHIBOMBO,KEEMBE,MUUNDU,KELILIMWANDWE,Kelilimwandwe Primary School,2
43,CENTRAL,CHIBOMBO,KEEMBE,CHITANDA,LUBUNDI,Lubundi Primary School,2
44,CENTRAL,CHIBOMBO,KEEMBE,LUNJOFWA,CHITULU,Chitulu Primary School,2
45,CENTRAL,CHIBOMBO,KEEMBE,LUNJOFWA,KALOBELO,Kalobelo Primary School,2
46,CENTRAL,CHIBOMBO,KEEMBE,MALAMBANYAMA,KALUTYANKA,Kalutyanka Community School,2
47,CENTRAL,CHIBOMBO,KEEMBE,MASHIKILI,CHITITI,Chititi Primary School,2
48,CENTRAL,CHIBOMBO,KEEMBE,MASHIKILI,NANSWISA,Nanswisa Primary School,2
49,CENTRAL,CHIBOMBO,KEEMBE,KAKOMA,MUBIMBA,Mubimba Primary School,2
50,CENTRAL,CHIBOMBO,KEEMBE,CHIKOBO,SHIMBILO,Shimbilo Primary School,2
51,CENTRAL,CHIBOMBO,KEEMBE,CHALOSHI,CHALOSHI,Golden Valley Primary School,2
52,CENTRAL,CHIBOMBO,KEEMBE,KEEMBE,MUTESHA,Mutesha Primary School,2
53,CENTRAL,CHIBOMBO,KEEMBE,KEEMBE,KEEMBE,Kabimba Primary School,2
54,CENTRAL,CHIBOMBO,KEEMBE,KALOLA,NTITIMA,Kalola Primary School,2
55,CENTRAL,CHIBOMBO,KEEMBE,CHIKOBO,SHAMPANDE,Shapande Primary School,2
56,CENTRAL,CHIBOMBO,KEEMBE,CHIBOMBO,MUKALASHI,Mukalashi Primary School,2
57,CENTRAL,CHIBOMBO,KEEMBE,CHIKOBO,LITETA,Liteta Local Court,2
58,CENTRAL,CHIBOMBO,KATUBA,KABILE,CHALABANA,Chalabana Primary School,3
59,CENTRAL,CHIBOMBO,KATUBA,CHILOCHABALENJE,MBOSHYA,Mboshya Primary School,3
60,CENTRAL,CHIBOMBO,KATUBA,MUCHENJE,MUCHENJE,Muchenje Primary School,3
61,CENTRAL,CHIBOMBO,KATUBA,CHOLOKELO,LUKATA,Lukata Primary School,3
62,CENTRAL,CHIBOMBO,KATUBA,MUNGULE,KATETE,Katete Primary School,3
63,CENTRAL,CHIBOMBO,KATUBA,MUNGULE,KAYOSHA,Kayosha Primary School,3
64,CENTRAL,CHIBOMBO,KATUBA,CHUNGA,SCHEME,Chunga Irrigation Scheme,3
65,CENTRAL,CHIBOMBO,KATUBA,CHUNGA,SHIFWANKULA EAST,Shifwankula Primary School,3
66,CENTRAL,CHIBOMBO,KATUBA,CHUNGA,MALAILA,Zamseed Farm Ltd,3
67,CENTRAL,CHIBOMBO,KATUBA,KAMAILA,MAYOTA,Mayota Community School,3
68,CENTRAL,CHIBOMBO,KATUBA,CHOLOKELO,KATUBA,Katuba Primary School,3
69,CENTRAL,CHIBOMBO,KEEMBE,ITUMBWE,MUSHINGASHI,Mushingashi Primary School,3
70,CENTRAL,CHIBOMBO,KEEMBE,MUUNDU,KANTUPU,Kantupu Primary School,3
71,CENTRAL,CHIBOMBO,KEEMBE,MUUNDU,MUUNDU,Muundu Primary School,3
72,CENTRAL,CHIBOMBO,KEEMBE,CHITANDA,KALEBUKA,Kalebuka Primary School,3
73,CENTRAL,CHIBOMBO,KEEMBE,CHITANDA,KAYONJE,Kayonje Community School,3
74,CENTRAL,CHIBOMBO,KEEMBE,LUNJOFWA,KAMISHISHI,Kamishishi Primary School,3
75,CENTRAL,CHIBOMBO,KEEMBE,MALAMBANYAMA,KEEMBE RANCH,Nchename Primary School,3
76,CENTRAL,CHIBOMBO,KEEMBE,MASHIKILI,MULEYABESO,Muleyabeso Community School,3
77,CENTRAL,CHIBOMBO,KEEMBE,KALOLA,MULULU,Mululu Community School,3
78,CENTRAL,CHIBOMBO,KEEMBE,KAKOMA,SHINKOMBA,Shinkomba Community School,3
79,CENTRAL,CHIBOMBO,KEEMBE,CHIKOBO,CHIPAKO,Chipako Primary School,3
80,CENTRAL,CHIBOMBO,KEEMBE,CHIKOBO,NACHIYABA,Nachiyaba Primary School,3
81,CENTRAL,CHIBOMBO,KEEMBE,KEEMBE,CHILIKWELA,Chilikwela Community School,3
82,CENTRAL,CHIBOMBO,KEEMBE,KEEMBE,CHINYONGOLA,Chinyongola Primary School,3
83,CENTRAL,CHIBOMBO,KEEMBE,KALOLA,CHIKULA,Chikula MB School,3
84,CENTRAL,CHIBOMBO,KEEMBE,CHIBOMBO,KASENSA,Kasensa Community School,3
85,CENTRAL,CHIBOMBO,KEEMBE,CHIBOMBO,CHABOTA,Mukuni Primary School,3
86,CENTRAL,CHIBOMBO,KEEMBE,IPONGO,IPONGO,Ipongo Primary School,3
87,CENTRAL,CHIBOMBO,KATUBA,KABILE,KABANGALALA,Kabangalala Primary School,4
88,CENTRAL,CHIBOMBO,KATUBA,KABILE,KALALA,Kalala Primary School,4
89,CENTRAL,CHIBOMBO,KATUBA,MUCHENJE,MUSOPELO,Musopelo Primary School,4
90,CENTRAL,CHIBOMBO,KATUBA,CHOLOKELO,CHIBEBE,Chibebe Health Post,4
91,CENTRAL,CHIBOMBO,KATUBA,MUNGULE,MUNGULE,Mutakwa Primary School,4
92,CENTRAL,CHIBOMBO,KATUBA,MUNGULE,MUNGULE EAST,Moomba Primary School,4
93,CENTRAL,CHIBOMBO,KATUBA,CHUNGA,CHUNGA,Nalunyanda Clinic,4
94,CENTRAL,CHIBOMBO,KATUBA,CHUNGA,KABANGWE,North Park School,4
95,CENTRAL,CHIBOMBO,KATUBA,KATUBA,MUWANJUNI,Muwanjuni Primary School,4
96,CENTRAL,CHIBOMBO,KATUBA,KAMAILA,KAMAILA,Kamaila Primary School,4
97,CENTRAL,CHIBOMBO,KATUBA,KATUBA,CHOMBELA,Chombela Primary School,4
98,CENTRAL,CHIBOMBO,KEEMBE,ITUMBWE,MANWANKALAMU,Manwankalamu Primary School,4
99,CENTRAL,CHIBOMBO,KEEMBE,MUUNDU,MUKASHICHIMBWE,Mukashichimbwe Primary School,4
100,CENTRAL,CHIBOMBO,KEEMBE,MALAMBANYAMA,CHITEBULU,Chitebulu Primary School,4
101,CENTRAL,CHIBOMBO,KEEMBE,CHITANDA,CHIYUNI,Chiyuni Primary School,4
102,CENTRAL,CHIBOMBO,KEEMBE,LUNJOFWA,LUNJOFWA,Lunjofwa Primary School,4
103,CENTRAL,CHIBOMBO,KEEMBE,MALAMBANYAMA,KAFUSHI,Kafushi High School,4
104,CENTRAL,CHIBOMBO,KEEMBE,MALAMBANYAMA,MALAMBANYAMA,Malambanyama Primary School,4
105,CENTRAL,CHIBOMBO,KEEMBE,MASHIKILI,MASHIKILI EAST,Mashikili Primary School,4
106,CENTRAL,CHIBOMBO,KEEMBE,MASHIKILI,KAFULULU,Kafululu Primary School,4
107,CENTRAL,CHIBOMBO,KEEMBE,KAKOMA,KAKOMA NORTH,Mufwambe Primary School,4
108,CENTRAL,CHIBOMBO,KEEMBE,KAKOMA,KAKOMA,Shimukuni Primary School,4
109,CENTRAL,CHIBOMBO,KEEMBE,CHALOSHI,MWAYASUNKA,Mwayasunka Primary School,4
110,CENTRAL,CHIBOMBO,KEEMBE,KEEMBE,MUMANGWA,Mumangwa Primary School,4
111,CENTRAL,CHIBOMBO,KEEMBE,KEEMBE,CHILONGA,Chilonga Primary School,4
112,CENTRAL,CHIBOMBO,KEEMBE,KALOLA,KALOLA EAST,Mwachisompola Zone Hospital,4
113,CENTRAL,CHIBOMBO,KEEMBE,CHIBOMBO,CHIBOMBO,Chibombo Primary School,4
114,CENTRAL,CHISAMBA,CHISAMBA,LITETA,MWAMFUMBA,Liteta Primary School,1
115,CENTRAL,CHISAMBA,CHISAMBA,LITETA,MALOMBE,Malombe Primary School,1
116,CENTRAL,CHISAMBA,CHISAMBA,MUTENGA,NKONJE,Nkonje Primary School,1
117,CENTRAL,CHISAMBA,CHISAMBA,MUTENGA,LUKOSHI,Lukoshi Primary School,1
118,CENTRAL,CHISAMBA,CHISAMBA,CHIKONKOMENE,MATUBILA,Matubila Community School,1
119,CENTRAL,CHISAMBA,CHISAMBA,CHIKONKOMENE,KABANGA,Kabanga Primary School,1
120,CENTRAL,CHISAMBA,CHISAMBA,MUSWISHI,KIZITO,Kizito Primary School,1
121,CENTRAL,CHISAMBA,CHISAMBA,MUSWISHI,BRUNNELI,Brunneli Primary School,1
122,CENTRAL,CHISAMBA,CHISAMBA,MULUNGUSHI,KASAMBA,Kasamba Primary School,1
123,CENTRAL,CHISAMBA,CHISAMBA,MULUNGUSHI,LOMBWA,Lombwa Primary School,1
124,CENTRAL,CHISAMBA,CHISAMBA,MWAPULA,NYANKANGA,Nyankanga Primary School,1
125,CENTRAL,CHISAMBA,CHISAMBA,MWAPULA,KANAKANTAPA,Kanakantapa Primary School,1
126,CENTRAL,CHISAMBA,CHISAMBA,CHAMUKA,SHELENI,Luano Community School,1
127,CENTRAL,CHISAMBA,CHISAMBA,KAMANO,KALANGWA,Kalangwa Primary School,1
128,CENTRAL,CHISAMBA,CHISAMBA,CHISAMBA,CHISAMBA,Chisamba Primary School,1
129,CENTRAL,CHISAMBA,CHISAMBA,MISWA,CHABUSHA,Chabusha Primary School,1
130,CENTRAL,CHISAMBA,CHISAMBA,LITETA,NALUFWI,Nalufwi Primary School,2
131,CENTRAL,CHISAMBA,CHISAMBA,MONANG`OMBE,LWAMABWE,Lwamabwe Primary School,2
132,CENTRAL,CHISAMBA,CHISAMBA,MUTENGA,MOMBOSHI,Momboshi Primary School,2
133,CENTRAL,CHISAMBA,CHISAMBA,MUTENGA,MUFUNDA,Mufunda Primary School,2
134,CENTRAL,CHISAMBA,CHISAMBA,CHIKONKOMENE,CHIKONKOMENE,Chikonkomene Primary School,2
135,CENTRAL,CHISAMBA,CHISAMBA,CHIKONKOMENE,14 MILES,Kapani ECCD,2
136,CENTRAL,CHISAMBA,CHISAMBA,MUSWISHI,CHOWA,Chowa Primary School,2
137,CENTRAL,CHISAMBA,CHISAMBA,MUSWISHI,KASOSOLO,Kasosolo Primary School,2
138,CENTRAL,CHISAMBA,CHISAMBA,MULUNGUSHI,BOMBWE,Bombwe Primary School,2
139,CENTRAL,CHISAMBA,CHISAMBA,MULUNGUSHI,MUNEMA,Mumena Primary School,2
140,CENTRAL,CHISAMBA,CHISAMBA,MWAPULA,KAMINEMBE,Kaminembe Primary School,2
141,CENTRAL,CHISAMBA,CHISAMBA,MWAPULA,KACHANGWA,Kachangwa Primary School,2
142,CENTRAL,CHISAMBA,CHISAMBA,CHAMUKA,CHAMUKA,Chamuka Primary School,2
143,CENTRAL,CHISAMBA,CHISAMBA,KAMANO,MUNANO,Munano Primary School,2
144,CENTRAL,CHISAMBA,CHISAMBA,CHISAMBA,MUPAMAPAMO,Mupamapamo Primary School,2
145,CENTRAL,CHISAMBA,CHISAMBA,MISWA,NKONGOLO,Nkongolo Primary School,2
146,CENTRAL,CHISAMBA,CHISAMBA,LITETA,CHANKUMBA,Chankumba Primary School,3
147,CENTRAL,CHISAMBA,CHISAMBA,MONANG`OMBE,MONANG'OMBE,Monang'ombe Primary School,3
148,CENTRAL,CHISAMBA,CHISAMBA,MONANG`OMBE,KALIMINA,Kalimina Primary School,3
149,CENTRAL,CHISAMBA,CHISAMBA,MUTENGA,KABAKOMBO,Kabakombo Primary School,3
150,CENTRAL,CHISAMBA,CHISAMBA,CHIKONKOMENE,CHIPANDAIKE,Chipandaike Primary School,3
151,CENTRAL,CHISAMBA,CHISAMBA,CHIKONKOMENE,CHUNGA,Chunga Primary School,3
152,CENTRAL,CHISAMBA,CHISAMBA,MUSWISHI,KAWAMA,Kawama Primary School,3
153,CENTRAL,CHISAMBA,CHISAMBA,MUSWISHI,MUTUTU,Mututu Primary School,3
154,CENTRAL,CHISAMBA,CHISAMBA,MULUNGUSHI,MULUNGUSHI AGRO,Mulungushi AGRO Primary School,3
155,CENTRAL,CHISAMBA,CHISAMBA,MWANTAYA,KATETE,Mapulanga Community School,3
156,CENTRAL,CHISAMBA,CHISAMBA,MWAPULA,MWAPULA,Mwapula Primary School,3
157,CENTRAL,CHISAMBA,CHISAMBA,MWAPULA,CHIPILEPILE,Chipilepile Primary School,3
158,CENTRAL,CHISAMBA,CHISAMBA,CHAMUKA,CHIPEMBI,Chipembi Primary School,3
159,CENTRAL,CHISAMBA,CHISAMBA,KAMANO,KAMANO,Kamano Primary School,3
160,CENTRAL,CHISAMBA,CHISAMBA,CHISAMBA,JOHNKEN,Mutoyo Primary School,3
161,CENTRAL,CHISAMBA,CHISAMBA,MISWA,CHISAMBA RANCH,Chisamba Ranch Primary School,3
162,CENTRAL,CHISAMBA,CHISAMBA,LITETA,KAMPEKETE,Kampekete Primary School,4
163,CENTRAL,CHISAMBA,CHISAMBA,MONANG`OMBE,KALWELWE,Kalwelwe Primary School,4
164,CENTRAL,CHISAMBA,CHISAMBA,MONANG`OMBE,KAMULOBWE,Kamulobwe Primary School,4
165,CENTRAL,CHISAMBA,CHISAMBA,MUTENGA,MWEEMBA,Mweemba Primary School,4
166,CENTRAL,CHISAMBA,CHISAMBA,MUTENGA,LIFWAMBULA,Lifwambula Primary School,4
167,CENTRAL,CHISAMBA,CHISAMBA,MUSWISHI,MUSWISHI,Muswishi Primary School,4
168,CENTRAL,CHISAMBA,CHISAMBA,MUSWISHI,CHIKUSE,Chikuse Primary School,4
169,CENTRAL,CHISAMBA,CHISAMBA,MULUNGUSHI,MUSWISHI AGRO,Muswishi AGRO Primary School,4
170,CENTRAL,CHISAMBA,CHISAMBA,MULUNGUSHI,MASIYE,Masiye Community School,4
171,CENTRAL,CHISAMBA,CHISAMBA,MWANTAYA,MWANTAYA,Mwantaya Primary School,4
172,CENTRAL,CHISAMBA,CHISAMBA,MWAPULA,MUPELEKESE,Mupelekese Primary School,4
173,CENTRAL,CHISAMBA,CHISAMBA,CHAMUKA,KAPUTI,Kaputi Primary School,4
174,CENTRAL,CHISAMBA,CHISAMBA,CHAMUKA,MOOMBE,Moombe Primary School,4
175,CENTRAL,CHISAMBA,CHISAMBA,KAMANO,CHALAMPA,Chalampa Primary School,4
176,CENTRAL,CHISAMBA,CHISAMBA,CHISAMBA,MWOMBOSHI FOREST,Mutaba Community School,4
177,CENTRAL,CHISAMBA,CHISAMBA,MISWA,VERA,Vera Community School,4
178,CENTRAL,CHITAMBO,CHITAMBO,LUOMBWA,CHOBELA,Reuben Primary School,1
179,CENTRAL,CHITAMBO,CHITAMBO,KATONGA,KATONGA,Katonga Primary School,1
180,CENTRAL,CHITAMBO,CHITAMBO,MPELEMBE,MPELEMBE,Mpelembe Primary School,1
181,CENTRAL,CHITAMBO,CHITAMBO,CHIPUNDU,CHIPUNDU,Chipundu Primary School,1
182,CENTRAL,CHITAMBO,CHITAMBO,CHALILO,CHALILO,Chalilo Primary School,1
183,CENTRAL,CHITAMBO,CHITAMBO,LUSENGA,LUSENGA,Lusenga Primary School,1
184,CENTRAL,CHITAMBO,CHITAMBO,MUCHINKA,MUKANDO,Mukando Primary School,1
185,CENTRAL,CHITAMBO,CHITAMBO,CHITAMBO,MATEYO KAKUMBI,Mateyo Kakumbi Primary School,1
186,CENTRAL,CHITAMBO,CHITAMBO,NAKATAMBO,SHADRECK MAILO,Shadreck Mailo Primary School,1
187,CENTRAL,CHITAMBO,CHITAMBO,CHITAMBO,KATIKULULA,Katikulula Primary School,1
188,CENTRAL,CHITAMBO,CHITAMBO,LUOMBWA,KAMAKA,Kamaka Primary School,2
189,CENTRAL,CHITAMBO,CHITAMBO,KATONGA,MWANSA MPANGO,Mwansa Mpango Primary School,2
190,CENTRAL,CHITAMBO,CHITAMBO,MPELEMBE,MISUMBA,Misumba Primary School,2
191,CENTRAL,CHITAMBO,CHITAMBO,CHIPUNDU,KAOMA,Kaoma Primary School,2
192,CENTRAL,CHITAMBO,CHITAMBO,CHALILO,MUSANGASHI,Musangashi Primary School,2
193,CENTRAL,CHITAMBO,CHITAMBO,LUSENGA,KAFINDA,Kafinda Primary School,2
194,CENTRAL,CHITAMBO,CHITAMBO,MUCHINKA,TUBULUMO,Tubulumo Primary School,2
195,CENTRAL,CHITAMBO,CHITAMBO,CHITAMBO,MABONDE,Mabonde Primary School,2
196,CENTRAL,CHITAMBO,CHITAMBO,NAKATAMBO,NAKATAMBO,Nakatambo Primary School,2
197,CENTRAL,CHITAMBO,CHITAMBO,MUCHINKA,LUBEMBE,Lubembe Primary School,2
198,CENTRAL,CHITAMBO,CHITAMBO,KATONGA,KAUNDU,Kaundu Primary School,3
199,CENTRAL,CHITAMBO,CHITAMBO,LULIMALA,LULIMALA,Gibson Primary School,3
200,CENTRAL,CHITAMBO,CHITAMBO,LULIMALA,CHISANSA,Kakuku Primary School,3
201,CENTRAL,CHITAMBO,CHITAMBO,CHIPUNDU,KALUNGU,Kalungu Community School,3
202,CENTRAL,CHITAMBO,CHITAMBO,CHALILO,NJELELE,Mulembo Game Park,3
203,CENTRAL,CHITAMBO,CHITAMBO,LUSENGA,YORAM MWANJE,Yoram Mwanje Primary School,3
204,CENTRAL,CHITAMBO,CHITAMBO,MUCHINKA,MUCHINKA,Muchinka Primary School,3
205,CENTRAL,CHITAMBO,CHITAMBO,CHITAMBO,FISONGE,Fisonge Primary School,3
206,CENTRAL,CHITAMBO,CHITAMBO,NAKATAMBO,NSALU,Mpempa Community School,3
207,CENTRAL,CHITAMBO,CHITAMBO,KATONGA,MWILA CHILUPULA,Mangala Community School,4
208,CENTRAL,CHITAMBO,CHITAMBO,LULIMALA,CHAMA MISHECK,Chama Misheck Community School,4
209,CENTRAL,CHITAMBO,CHITAMBO,MPELEMBE,MISESHI,Miseshi Primary School,4
210,CENTRAL,CHITAMBO,CHITAMBO,CHIPUNDU,MISAFI,Chitima Community School,4
211,CENTRAL,CHITAMBO,CHITAMBO,MPELEMBE,CHENGA,Chenga Primary School,4
212,CENTRAL,CHITAMBO,CHITAMBO,LUSENGA,KOBOLA,Kobola Primary School,4
213,CENTRAL,CHITAMBO,CHITAMBO,MUCHINKA,MWIMBULA,Mwimbula Primary School,4
214,CENTRAL,CHITAMBO,CHITAMBO,CHITAMBO,KASUKO,Kasuko Primary School,4
215,CENTRAL,CHITAMBO,CHITAMBO,NAKATAMBO,CHIPAATA,Chipaata Primary School,4
216,CENTRAL,ITEZHI-TEZHI,ITEZH-ITEZHI,ITEZHI-TEZHI,KATABA,Uphill Day Secondary School,1
217,CENTRAL,ITEZHI-TEZHI,ITEZH-ITEZHI,ITUMBI,BUSHINGA,Bushinga Primary School,1
218,CENTRAL,ITEZHI-TEZHI,ITEZH-ITEZHI,KAANZWA,MUTENDA,Mulilabanyama Primary School,1
219,CENTRAL,ITEZHI-TEZHI,ITEZH-ITEZHI,MASEMU,MASEMU,Itezhitezhi Primary School,1
220,CENTRAL,ITEZHI-TEZHI,ITEZH-ITEZHI,BABIZHI,BATUNGA,Batunga Primary School,1
221,CENTRAL,ITEZHI-TEZHI,ITEZH-ITEZHI,LUBANDA,LUBANDA,Lubanda Primary School,1
222,CENTRAL,ITEZHI-TEZHI,ITEZH-ITEZHI,BANAMWAZE,KABANGA,Kabanga Primary School,1
223,CENTRAL,ITEZHI-TEZHI,ITEZH-ITEZHI,MAKUNKU,NG'ANZO,Ng'anzo Primary School,1
224,CENTRAL,ITEZHI-TEZHI,ITEZH-ITEZHI,NYAMBO,MUUNGA,Muunga Primary School,1
225,CENTRAL,ITEZHI-TEZHI,ITEZH-ITEZHI,KABULUNGWE,NAKACHELE,Nakachele Community School,1
226,CENTRAL,ITEZHI-TEZHI,ITEZH-ITEZHI,BASANGA,IYANDA,Iyanda Primary School,1
227,CENTRAL,ITEZHI-TEZHI,ITEZH-ITEZHI,LUUBWE,NANTANGA,Nantanga Community School,1
228,CENTRAL,ITEZHI-TEZHI,ITEZH-ITEZHI,MBILA,YOMENA,Yomena Primary School,1
229,CENTRAL,ITEZHI-TEZHI,ITEZH-ITEZHI,SHAMBALA,KASANGALA,Kasangala Primary School,1
230,CENTRAL,ITEZHI-TEZHI,ITEZH-ITEZHI,ITEZHI-TEZHI,CHOONGO,Ikonkaile Primary School,2
231,CENTRAL,ITEZHI-TEZHI,ITEZH-ITEZHI,ITUMBI,ITUMBI,Itumbi Primary School,2
232,CENTRAL,ITEZHI-TEZHI,ITEZH-ITEZHI,KAANZWA,KAPULWE,Kapulwe Primary School,2
233,CENTRAL,ITEZHI-TEZHI,ITEZH-ITEZHI,MASEMU,LILANDA,Nakabangwe Primary School,2
234,CENTRAL,ITEZHI-TEZHI,ITEZH-ITEZHI,BABIZHI,BABIZHI,Babizhi Primary School,2
235,CENTRAL,ITEZHI-TEZHI,ITEZH-ITEZHI,LUBANDA,BAANGA,Baanga Primary School,2
236,CENTRAL,ITEZHI-TEZHI,ITEZH-ITEZHI,BANAMWAZE,NAMIYANDA,Namiyanda Community School,2
237,CENTRAL,ITEZHI-TEZHI,ITEZH-ITEZHI,MAKUNKU,IFUMBWE,Ifumbwe Primary School,2
238,CENTRAL,ITEZHI-TEZHI,ITEZH-ITEZHI,NYAMBO,CHUUBI,Chuubi Primary School,2
239,CENTRAL,ITEZHI-TEZHI,ITEZH-ITEZHI,KABULUNGWE,CHISHINDE,Chishinde Community School,2
240,CENTRAL,ITEZHI-TEZHI,ITEZH-ITEZHI,BASANGA,BASANGA,Basanga Primary School,2
241,CENTRAL,ITEZHI-TEZHI,ITEZH-ITEZHI,LUUBWE,KANTALIMWA,Kantalimwa Primary School,2
242,CENTRAL,ITEZHI-TEZHI,ITEZH-ITEZHI,MBILA,MBILA EAST,Mbila East Primary School,2
243,CENTRAL,ITEZHI-TEZHI,ITEZH-ITEZHI,SHAMBALA,MUYASANI,Muyasani Primary School,2
244,CENTRAL,ITEZHI-TEZHI,ITEZH-ITEZHI,ITUMBI,COMMUNITY RESOURCE BOARD (CRB),Community Resource Board Hall (CRB),3
245,CENTRAL,ITEZHI-TEZHI,ITEZH-ITEZHI,ITUMBI,KEELA,Keela Primary School,3
246,CENTRAL,ITEZHI-TEZHI,ITEZH-ITEZHI,KAANZWA,NKOBO,Nkobo Primary School,3
247,CENTRAL,ITEZHI-TEZHI,ITEZH-ITEZHI,MASEMU,KALUNDU,Kalundu Primary School,3
248,CENTRAL,ITEZHI-TEZHI,ITEZH-ITEZHI,BABIZHI,BUUNGA,Shimbuwamboomboo Secondary School,3
249,CENTRAL,ITEZHI-TEZHI,ITEZH-ITEZHI,LUBANDA,KAPILI MALENJE,Kapili Malenje Primary School,3
250,CENTRAL,ITEZHI-TEZHI,ITEZH-ITEZHI,BANAMWAZE,MPOMBO,Mpombo Primary School,3
251,CENTRAL,ITEZHI-TEZHI,ITEZH-ITEZHI,MAKUNKU,MAULUZHI,Mauluzhi Primary School,3
252,CENTRAL,ITEZHI-TEZHI,ITEZH-ITEZHI,NYAMBO,NYAMBO,Nyambo Primary School,3
253,CENTRAL,ITEZHI-TEZHI,ITEZH-ITEZHI,KABULUNGWE,KABULUNGWE,Kabulungwe Primary School,3
254,CENTRAL,ITEZHI-TEZHI,ITEZH-ITEZHI,BASANGA,MAKUZU,Makuzu Primary School,3
255,CENTRAL,ITEZHI-TEZHI,ITEZH-ITEZHI,LUUBWE,KASAMU,Kasamu Primary School,3
